Beverage,Beverage_category,Beverage_prep,Milk_type,Calories,Total Fat (g),Trans Fat (g) ,Saturated Fat (g),Sodium (mg),Total Carbohydrates (g) ,Cholesterol (mg),Dietary Fibre (g),Sugars (g),Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV),Calcium (% DV) ,Iron (% DV) ,Caffeine (mg),Beverage_size,Beverage_category_Coffee,Beverage_category_Espresso Drink,Beverage_category_Frappuccino,Beverage_category_Shaken Iced Beverages,Beverage_category_Smoothies,Beverage_category_Tazo® Tea Drinks,Milk_type_No Milk,Milk_type_Nonfat Milk
Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),Shaken Iced Beverages,Venti,No Milk,190,0.0,0.0,0.0,0,0,49,0,49,0.1,0%,20%,0%,0%,Varies,3,False,False,False,True,False,False,True,False
Banana Chocolate Smoothie,Smoothies,Grande,Nonfat Milk,280,2.5,1.5,0.0,5,150,53,7,34,20.0,10%,15%,20%,0%,Varies,2,False,False,False,False,True,False,False,True
Orange Mango Banana Smoothie,Smoothies,Grande,Nonfat Milk,260,1.0,0.3,0.0,5,120,54,6,37,16.0,50%,80%,10%,30%,15,2,False,False,False,False,True,False,False,True
Strawberry Banana Smoothie,Smoothies,Grande,Nonfat Milk,290,1.0,0.3,0.0,5,125,58,7,41,16.0,4%,100%,10%,8%,0,2,False,False,False,False,True,False,False,True
Coffee,Frappuccino® Blended Coffee,Tall,Nonfat Milk,160,0.1,0.0,0.0,0,160,36,0,36,3.0,4%,0%,10%,10%,0,1,False,False,True,False,False,False,False,True
Coffee,Frappuccino® Blended Coffee,Grande,Nonfat Milk,220,0.1,0.1,0.0,0,210,51,0,50,4.0,6%,0%,10%,4%,70,2,False,False,True,False,False,False,False,True
Coffee,Frappuccino® Blended Coffee,Venti,Nonfat Milk,310,0.1,0.1,0.0,5,300,70,0,69,6.0,10%,0%,20%,6%,95,3,False,False,True,False,False,False,False,True
Mocha (Without Whipped Cream),Frappuccino® Blended Coffee,Tall,Nonfat Milk,180,0.5,0.4,0.0,0,150,42,1,40,3.0,4%,0%,10%,8%,130,1,False,False,True,False,False,False,False,True
Mocha (Without Whipped Cream),Frappuccino® Blended Coffee,Grande,Nonfat Milk,260,1.0,0.5,0.0,0,220,61,1,58,4.0,6%,0%,10%,8%,110,2,False,False,True,False,False,False,False,True
Mocha (Without Whipped Cream),Frappuccino® Blended Coffee,Venti,Nonfat Milk,340,1.0,0.5,0.0,5,300,80,1,76,7.0,10%,0%,15%,10%,140,3,False,False,True,False,False,False,False,True
Caramel (Without Whipped Cream),Frappuccino® Blended Coffee,Tall,Nonfat Milk,180,0.1,0.0,0.0,0,160,42,0,41,3.0,4%,0%,10%,0%,70,1,False,False,True,False,False,False,False,True
Caramel (Without Whipped Cream),Frappuccino® Blended Coffee,Grande,Nonfat Milk,280,0.1,0.1,0.0,0,220,60,0,59,4.0,6%,0%,10%,0%,100,2,False,False,True,False,False,False,False,True
